age,gender,marital_status,dependents,education,employment_status,years_employed,self_employed,residence_type,housing_status,city,state,country,monthly_income,annual_income,existing_emi,savings,bank_balance,loan_amount,loan_purpose,loan_term,interest_rate,collateral_available,coapplicant_income,credit_score,past_loan_defaults,credit_card_holder,num_open_accounts,current_debt,debt_to_income_ratio,cibil_score,vehicle_ownership,property_ownership,business_ownership,existing_loans,pan_verified,aadhaar_verified,income_tax_filed,bank_statement_available,salary_slips_available,loan_approved
57,Female,Married,0,Graduate,Employed,15,0,Owned,Mortgaged,Delhi,Tamil Nadu,India,110839,296457,7312,5000,552094,308921,Business,12,9.601311244448098,1,23335,446,0,1,5,319153,0.13879106752205328,673,0,0,0,0,0,0,1,0,0,0
58,Male,Single,3,Graduate,Self Employed,8,0,Rented,Rented,Chennai,Delhi,India,67039,563730,13367,327378,200257,439054,Home,48,9.86149284693613,0,21970,627,0,0,1,263710,0.6442111463465576,888,1,0,0,3,0,0,0,1,1,0
56,Female,Married,3,High School,Employed,17,0,Rented,Owned,Hyderabad,Telangana,India,46875,951795,2575,56452,102469,282777,Vehicle,24,11.101222000412008,1,24629,900,1,0,2,58190,0.5522229238204921,732,1,0,0,0,0,0,0,0,1,1
59,Female,Married,3,Graduate,Employed,3,0,Owned,Rented,Chennai,Telangana,India,58434,792517,3692,238742,10000,218517,Education,24,14.277233711345186,1,11069,900,0,0,10,179205,0.45505230297137866,812,0,1,0,2,0,0,0,0,0,1
46,Female,Single,1,Postgraduate,Employed,7,0,Rented,Mortgaged,Mumbai,Maharashtra,India,84218,1204882,7680,795370,349702,50000,Education,36,15.062358679434212,1,2521,691,0,0,7,208503,0.7106608882350213,585,0,1,0,4,0,0,0,1,1,0
28,Female,Single,0,High School,Employed,15,0,Rented,Owned,Mumbai,Tamil Nadu,India,53683,356589,0,304639,134495,109162,Education,60,12.85180106052509,0,0,614,0,0,9,170518,0.2415725066235291,758,1,0,1,0,0,0,0,0,1,1
62,Male,Single,2,Graduate,Employed,2,0,Owned,Mortgaged,Bengaluru,Delhi,India,70227,1485649,12965,94513,77124,886789,Home,36,9.349511315449233,0,28106,750,0,0,7,176379,0.6605418245870444,602,0,0,0,4,0,0,0,0,1,0
43,Male,Single,1,Postgraduate,Unemployed,6,0,Owned,Owned,Bengaluru,Tamil Nadu,India,64719,318602,2222,323402,223718,305569,Business,60,10.778111724753746,0,23436,768,0,0,5,328886,0.2314421785330826,748,1,0,0,2,0,0,0,1,0,1
46,Male,Single,3,Postgraduate,Employed,15,0,Owned,Owned,Chennai,Karnataka,India,52486,171250,5171,156926,264463,868761,Home,60,14.927672548582237,1,29021,786,0,0,1,108100,0.7933122680561007,552,0,0,0,2,0,0,0,0,0,0
39,Male,Divorced,2,High School,Employed,11,0,Owned,Rented,Bengaluru,Delhi,India,53423,762326,6720,77066,262413,538694,Education,48,11.106662337025112,0,6298,442,1,0,7,255909,0.1229353389228675,709,1,1,0,3,0,0,1,0,0,0
30,Male,Married,2,Graduate,Employed,15,0,Owned,Owned,Mumbai,Tamil Nadu,India,71453,439662,8235,628565,182567,439053,Home,48,9.271054323170468,0,24646,900,0,0,9,210061,0.4872380814246354,840,0,0,0,3,0,0,0,0,0,0
66,Male,Married,3,Graduate,Self Employed,10,1,Owned,Mortgaged,Hyderabad,Delhi,India,43508,768373,5938,442026,200694,119866,Business,48,10.765513495848086,1,0,844,0,0,3,98534,0.21761176995491646,780,1,0,0,2,0,0,0,0,0,0
59,Male,Divorced,3,Graduate,Employed,17,0,Owned,Owned,Hyderabad,Telangana,India,74938,757881,7595,312196,210164,451027,Home,24,14.550297642248562,1,4566,698,0,1,6,77722,0.38558254653136015,584,1,0,0,0,0,0,0,0,0,0
52,Male,Single,1,Postgraduate,Employed,17,0,Owned,Owned,Chennai,Telangana,India,54625,721267,7642,179471,223731,866280,Business,60,12.201096497643567,1,16511,640,0,1,5,18375,0.20356266912219295,511,0,0,0,4,0,1,0,1,1,0
41,Male,Married,0,Postgraduate,Self Employed,19,0,Owned,Owned,Chennai,Maharashtra,India,67802,527276,5317,194057,235235,792680,Home,60,9.78679581662456,0,22958,828,0,0,10,226129,0.2356778162533781,774,0,0,0,0,0,0,0,0,0,0
61,Female,Married,0,Graduate,Employed,2,0,Owned,Owned,Hyderabad,Tamil Nadu,India,95447,909796,3360,527646,322278,510332,Medical,48,10.844742794349536,1,35148,774,0,0,2,173991,0.14268635610854175,893,0,1,0,4,1,0,0,0,0,1
48,Female,Married,1,Graduate,Employed,11,1,Rented,Owned,Bengaluru,Telangana,India,61299,684798,14488,305183,187333,197292,Medical,48,15.651859597552047,0,12119,730,0,1,2,101551,0.10560248169169567,613,0,0,1,2,0,0,0,0,0,0
43,Male,Married,2,High School,Employed,2,1,Owned,Rented,Mumbai,Maharashtra,India,85235,1111099,0,5000,73815,239423,Vehicle,60,11.739681160739698,1,4611,770,0,0,3,1770,0.6035141202746662,900,1,0,0,2,0,0,0,0,0,1
43,Male,Married,0,Graduate,Employed,4,1,Owned,Owned,Chennai,Tamil Nadu,India,25575,725888,6765,685768,161242,262429,Business,12,11.8119944110457,1,3994,707,0,0,2,221107,0.41742237292231943,719,0,1,0,3,0,0,0,0,0,0
32,Male,Single,0,Graduate,Unemployed,6,0,Owned,Owned,Bengaluru,Telangana,India,54652,490605,5186,282951,277991,731194,Education,12,9.6480220153316,1,6745,764,0,0,10,163495,0.13191452962468558,504,0,1,0,4,1,0,0,0,0,0
26,Female,Married,2,Postgraduate,Employed,12,0,Rented,Rented,Chennai,Delhi,India,65609,273686,10512,311806,10000,808978,Vehicle,60,10.784157284607137,1,41652,799,0,0,3,112199,0.7572788732187101,548,0,0,0,0,1,0,0,0,0,0
48,Male,Divorced,3,Graduate,Employed,8,0,Rented,Owned,Chennai,Karnataka,India,107313,728367,0,445605,10000,493096,Home,36,14.610145997050349,0,24082,757,0,1,4,88416,0.5659271018237727,804,0,0,0,4,0,0,0,0,1,1
64,Male,Divorced,0,Graduate,Employed,17,0,Owned,Rented,Bengaluru,Tamil Nadu,India,21881,399238,5001,333772,299375,383322,Home,48,14.396492308024474,1,28350,752,1,0,3,157335,0.28499119242344584,734,1,1,0,3,0,0,0,0,0,0
25,Male,Single,2,Graduate,Employed,5,0,Owned,Owned,Delhi,Delhi,India,62883,375011,7385,384443,377615,790716,Vehicle,36,11.766240992072861,1,12132,873,0,1,9,224649,0.40708660298406907,883,0,0,0,1,0,0,0,0,0,0
63,Male,Married,0,Graduate,Self Employed,12,0,Owned,Owned,Bengaluru,Delhi,India,97047,938237,14420,173729,15523,234713,Education,36,15.202391966178434,0,14980,544,0,1,8,148651,0.44248667803394315,588,0,1,0,2,0,0,0,0,0,0
61,Male,Single,2,Postgraduate,Employed,15,0,Owned,Rented,Chennai,Delhi,India,47729,246698,9993,28636,193059,461401,Home,12,11.351941877971168,1,23391,632,1,1,6,67089,0.498949470339605,733,0,1,0,3,0,0,0,0,0,0
35,Female,Divorced,3,Postgraduate,Self Employed,19,1,Rented,Rented,Chennai,Delhi,India,60317,1203658,899,300441,128059,551852,Vehicle,24,14.982471848664506,0,8930,722,0,1,9,174478,0.7002151943686935,720,1,0,1,0,0,0,0,0,0,1
52,Female,Single,3,Postgraduate,Employed,4,0,Owned,Mortgaged,Bengaluru,Tamil Nadu,India,72298,827914,5075,507690,146092,260183,Medical,12,8.73674162938527,0,11504,639,0,1,1,279327,0.5129301979139066,704,0,0,0,2,0,0,0,0,1,0
29,Female,Divorced,2,Graduate,Employed,14,0,Rented,Owned,Bengaluru,Delhi,India,69059,766847,13316,133395,219719,310098,Business,36,11.10422717672283,1,6903,676,0,0,8,183825,0.7851083043314043,677,0,1,0,3,0,0,0,0,0,0
58,Female,Married,2,High School,Employed,1,1,Owned,Owned,Hyderabad,Delhi,India,99446,469570,795,118955,11926,292977,Business,12,14.913013585148764,0,9630,861,1,1,4,186500,0.6087663625077082,680,0,0,1,2,0,0,1,0,0,1
55,Female,Single,3,Graduate,Self Employed,10,0,Owned,Rented,Delhi,Telangana,India,74866,1009311,7528,469783,36061,761679,Medical,60,15.259821711057462,1,15587,703,0,0,5,149061,0.7919620387895664,739,1,0,0,2,0,1,0,0,0,0
39,Male,Single,2,Postgraduate,Employed,8,0,Rented,Rented,Mumbai,Karnataka,India,94211,779128,7945,167695,140837,871160,Education,24,14.173180309152869,0,5139,518,0,0,2,95481,0.4855244058935365,753,1,0,0,2,0,0,0,0,0,0
25,Female,Married,1,Graduate,Employed,19,0,Owned,Rented,Chennai,Telangana,India,57079,574171,5685,176099,161101,475254,Business,48,13.523993626717754,1,18431,673,0,0,2,92324,0.5749144319241627,747,0,1,0,2,0,0,0,0,0,0
68,Male,Single,3,Postgraduate,Self Employed,15,0,Rented,Rented,Hyderabad,Tamil Nadu,India,48708,839947,24174,182834,33625,390991,Home,12,14.616286820967243,1,18414,726,0,0,8,22123,0.6165290004452526,852,0,1,1,4,0,0,0,0,0,0
43,Male,Married,2,Graduate,Employed,18,0,Owned,Rented,Chennai,Telangana,India,60034,275164,5523,238303,282654,318034,Business,12,13.80668641166597,1,12849,724,0,0,10,292216,0.6283229241982979,587,0,1,0,4,0,0,1,0,0,0
64,Female,Divorced,3,Graduate,Employed,17,0,Rented,Owned,Bengaluru,Maharashtra,India,39499,289401,10698,5000,125717,450384,Medical,36,10.406657158488837,1,5070,781,1,0,11,223933,0.11710073983540364,520,0,0,0,4,0,0,1,1,0,0
54,Male,Married,2,Graduate,Employed,8,0,Owned,Rented,Delhi,Telangana,India,75637,443944,3402,152918,125163,328951,Business,48,11.99677675521148,1,16259,772,0,0,3,187836,0.18923202451461058,831,0,0,1,0,0,0,0,0,0,1
59,Male,Married,3,Graduate,Self Employed,14,0,Owned,Owned,Bengaluru,Telangana,India,56510,884858,11166,291466,216745,428653,Medical,60,13.455287484146197,1,8941,704,0,0,9,208080,0.25940567022036254,616,1,1,0,1,0,0,0,0,0,0
58,Female,Married,0,Graduate,Employed,0,0,Rented,Owned,Mumbai,Maharashtra,India,50220,779022,13224,290182,163241,540911,Business,36,12.908520678387283,0,15559,588,0,0,2,212255,0.2900461436134927,678,0,0,0,4,0,0,1,0,0,0
31,Female,Single,0,Postgraduate,Employed,11,0,Owned,Rented,Bengaluru,Delhi,India,75970,1094693,4472,458438,288871,360831,Medical,48,15.138232053422954,1,28177,671,1,0,9,110218,0.7337577325067258,652,0,1,0,3,0,0,0,1,0,0
39,Female,Divorced,0,High School,Employed,0,0,Owned,Owned,Delhi,Karnataka,India,39838,504003,7671,581090,58655,408290,Education,48,12.053834802908712,1,0,651,0,0,7,149100,0.6058222564307049,650,0,1,1,1,0,0,1,0,0,0
44,Male,Single,2,Graduate,Employed,14,0,Rented,Owned,Delhi,Karnataka,India,81951,952400,2628,522247,10000,409200,Home,48,9.834905335174048,0,41081,688,0,0,10,134950,0.2002971273740582,559,0,0,0,3,0,0,0,0,1,1
45,Male,Single,2,High School,Employed,19,0,Owned,Mortgaged,Bengaluru,Tamil Nadu,India,54476,745838,1133,414637,139727,380136,Home,48,10.109365280596613,1,14129,796,0,0,1,418585,0.39844852315675594,657,1,1,0,2,0,0,0,1,0,1
24,Female,Single,0,Postgraduate,Employed,13,0,Rented,Rented,Hyderabad,Tamil Nadu,India,90500,497086,14220,223227,187830,352881,Vehicle,12,14.845424191444682,0,19942,764,0,0,9,276919,0.2701850815903578,791,1,0,0,4,0,0,0,0,0,0
48,Male,Divorced,0,High School,Employed,16,0,Owned,Owned,Delhi,Delhi,India,56359,895592,4675,137847,18701,617683,Business,36,8.56540715667334,0,5966,810,0,0,6,195948,0.6809045525995668,719,0,0,1,2,0,0,0,0,0,0
29,Female,Single,3,Postgraduate,Employed,4,0,Owned,Mortgaged,Hyderabad,Tamil Nadu,India,78902,760196,0,253218,10000,60438,Home,60,15.018477714976253,1,28706,677,0,0,7,309768,0.742457890213689,775,0,0,0,2,0,0,0,0,0,1
57,Male,Married,3,Postgraduate,Self Employed,19,0,Owned,Owned,Bengaluru,Telangana,India,68950,591264,18592,355404,203698,796341,Education,36,8.916910642029885,1,13492,885,0,1,6,297770,0.21500309576951243,665,0,0,0,3,0,1,0,0,1,0
54,Male,Married,2,Postgraduate,Employed,11,0,Owned,Rented,Hyderabad,Karnataka,India,81365,792599,3187,397948,81488,479816,Home,12,11.43743851067054,1,10270,794,0,0,8,48850,0.3915995473842574,819,0,0,0,0,1,0,1,0,0,1
66,Male,Married,1,Postgraduate,Employed,13,0,Rented,Owned,Delhi,Telangana,India,67418,741140,6521,362155,10000,584203,Education,48,14.501321705842217,0,8093,732,0,0,7,158828,0.7669858896772141,664,0,0,0,3,0,0,0,1,1,0
57,Female,Divorced,1,High School,Unemployed,15,0,Owned,Owned,Hyderabad,Tamil Nadu,India,28405,733893,17845,228188,305494,609517,Vehicle,24,11.557115326167992,1,11778,786,0,0,5,178449,0.5599626098841124,488,0,1,0,1,0,0,0,0,0,0
39,Male,Married,0,Graduate,Self Employed,12,0,Owned,Owned,Chennai,Telangana,India,87193,656222,7149,391635,97866,294226,Medical,36,14.667611402905393,1,20020,645,0,1,5,238095,0.7076678078400539,754,1,1,0,0,0,0,0,1,0,0
68,Male,Divorced,0,Graduate,Employed,6,0,Owned,Owned,Chennai,Telangana,India,63070,388515,7019,476957,329475,248841,Medical,36,9.252241258943373,0,17073,488,0,0,1,158720,0.35038561170290805,804,0,0,0,0,0,0,0,0,0,0
41,Male,Single,3,Graduate,Employed,12,0,Owned,Owned,Bengaluru,Maharashtra,India,82369,802429,630,408428,183701,222900,Home,48,12.336566698263898,1,14521,653,0,0,8,170639,0.24679165636559888,658,0,1,0,0,0,0,0,0,0,1
37,Male,Married,1,High School,Employed,13,0,Owned,Owned,Bengaluru,Telangana,India,80185,539185,0,244237,218318,395645,Business,60,12.868555134992569,0,6462,802,0,0,8,136171,0.5839126102853239,851,0,1,0,0,0,0,0,0,0,1
65,Male,Married,2,Graduate,Employed,17,0,Rented,Rented,Bengaluru,Maharashtra,India,47987,473901,7001,99907,152505,603825,Business,48,15.181514479279308,0,5769,728,0,0,7,279648,0.19619843441422835,626,0,0,0,0,0,0,0,1,0,0
39,Female,Married,2,Postgraduate,Employed,9,0,Rented,Owned,Hyderabad,Telangana,India,44874,707790,10176,95637,10000,321572,Business,60,9.20216054754395,0,9469,704,0,0,8,42882,0.6879313277083822,793,0,1,0,1,0,0,1,0,0,0
25,Male,Married,1,High School,Employed,10,0,Rented,Owned,Chennai,Telangana,India,79417,1000207,9833,127380,32217,583744,Business,12,11.03950513962248,0,20523,626,0,1,3,139401,0.6283860097987882,900,1,0,0,4,0,0,1,0,1,0
44,Female,Divorced,0,High School,Employed,10,0,Owned,Mortgaged,Mumbai,Delhi,India,58328,835684,5112,296273,163657,50000,Home,48,13.44511071172629,0,22947,504,1,1,3,4850,0.31343464451876235,724,0,0,0,0,0,0,0,0,0,0
60,Female,Married,2,Graduate,Employed,2,1,Owned,Rented,Chennai,Maharashtra,India,85601,620657,8121,343564,227414,365175,Education,36,15.849475613950585,1,24564,876,0,0,11,82184,0.44909806380327777,695,1,0,0,3,0,0,0,0,0,0
31,Male,Married,0,Postgraduate,Employed,1,1,Owned,Mortgaged,Hyderabad,Karnataka,India,61079,608596,0,5000,10000,706770,Business,48,14.862057429683926,1,14982,697,0,0,11,210131,0.6594357297335625,708,0,0,0,4,0,0,0,0,1,1
44,Male,Married,1,High School,Employed,0,1,Rented,Owned,Chennai,Delhi,India,87515,970743,10761,159280,173031,412386,Education,12,14.848712962719171,0,19602,672,0,0,10,211934,0.7544372238406979,899,0,0,0,4,0,0,0,0,0,0
28,Female,Married,3,Graduate,Employed,13,0,Owned,Owned,Bengaluru,Karnataka,India,74312,150000,8968,293791,34105,267588,Education,36,12.378868970685911,1,12978,646,0,1,1,150246,0.3465123471210594,764,1,0,0,1,0,0,0,0,0,0
54,Male,Married,2,Postgraduate,Self Employed,8,0,Owned,Rented,Delhi,Maharashtra,India,71335,1019209,19841,88057,210500,305494,Business,12,12.732243415648737,0,0,857,0,1,7,286778,0.6529942728696851,900,0,0,1,0,0,0,0,0,0,0
44,Male,Married,3,Graduate,Self Employed,17,0,Owned,Rented,Chennai,Maharashtra,India,56771,217795,8044,328102,177477,50000,Medical,48,14.939350705604891,1,12408,816,1,0,9,308634,0.23612695676599835,750,0,1,0,1,0,0,1,0,0,0
37,Other,Single,0,Postgraduate,Employed,14,0,Rented,Owned,Chennai,Karnataka,India,70113,355377,2343,194662,276655,227403,Business,24,15.022191896925698,1,10496,613,0,0,1,173423,0.7324780974305949,648,1,1,0,3,0,0,0,1,1,1
32,Other,Single,0,Postgraduate,Employed,2,0,Rented,Mortgaged,Delhi,Tamil Nadu,India,91242,625720,7695,119784,318686,682593,Education,12,14.517059241040837,1,2531,848,0,0,11,203791,0.5803750071399696,655,0,1,0,3,0,0,0,0,1,0
49,Female,Married,1,Graduate,Employed,2,0,Rented,Rented,Bengaluru,Delhi,India,63807,1431037,6033,259576,239668,321827,Medical,12,14.639284563884317,1,8191,704,0,1,9,137008,0.2069175240491038,726,0,1,0,0,0,0,0,0,0,0
54,Male,Married,1,Graduate,Employed,7,0,Owned,Rented,Delhi,Delhi,India,76685,1283225,10608,320610,291851,347800,Vehicle,24,15.097223942506616,0,16621,652,0,0,4,239554,0.6178802451269516,495,1,1,1,1,1,0,0,0,1,0
67,Female,Divorced,0,Graduate,Self Employed,18,0,Rented,Owned,Mumbai,Maharashtra,India,66019,991946,8161,97264,134455,50000,Home,60,9.353364483189473,0,1401,687,0,0,6,66564,0.6068403698877965,667,0,0,0,3,0,0,0,0,0,0
42,Female,Married,3,Graduate,Employed,0,1,Owned,Rented,Mumbai,Delhi,India,67741,886962,440,206329,547005,91215,Home,60,10.694795326787283,1,6470,633,0,0,11,350604,0.6196082198419619,670,0,0,0,3,0,0,0,0,0,1
29,Male,Single,0,Postgraduate,Employed,3,0,Owned,Owned,Mumbai,Delhi,India,102915,221316,0,334182,21553,711810,Medical,12,15.820851504652056,1,33574,574,1,0,10,288298,0.3414141921972766,746,0,0,1,1,0,0,1,1,0,1
61,Female,Single,2,Graduate,Employed,0,0,Owned,Mortgaged,Bengaluru,Delhi,India,91438,827027,9577,112823,111391,585804,Business,60,12.585821199729963,1,0,805,0,1,10,66101,0.6178601749487851,900,0,0,1,4,0,0,0,0,0,0
52,Male,Single,2,Graduate,Employed,8,0,Owned,Owned,Bengaluru,Delhi,India,66746,615233,16298,5000,297176,164563,Education,36,9.82347895031269,1,12801,695,0,0,11,105043,0.6785990397670401,726,0,0,0,4,0,0,0,0,0,0
55,Male,Divorced,2,Postgraduate,Employed,19,0,Owned,Owned,Bengaluru,Delhi,India,69717,534999,8476,5000,277853,311274,Home,24,12.272917248996453,0,1004,787,0,0,9,220018,0.3429902366787576,508,0,0,1,1,1,0,0,0,0,0
26,Male,Single,0,Postgraduate,Employed,13,1,Owned,Owned,Hyderabad,Tamil Nadu,India,49558,826440,12879,174750,243360,443582,Home,60,13.343381314776934,1,5980,751,0,0,11,147866,0.24557036660673065,619,0,0,0,2,0,0,0,0,1,0
36,Male,Married,1,Postgraduate,Unemployed,9,0,Owned,Rented,Delhi,Delhi,India,61194,638666,14076,12684,267791,186851,Business,24,14.71166487953243,1,12627,780,1,0,11,231736,0.7215159450450432,748,1,0,0,2,0,0,0,0,0,0
58,Male,Divorced,2,High School,Employed,2,1,Rented,Mortgaged,Delhi,Tamil Nadu,India,71806,1040789,9600,187410,10000,50000,Home,12,14.59132544517601,0,3149,494,0,0,1,145857,0.534485845486818,730,0,1,0,3,0,0,1,1,1,0
61,Female,Divorced,1,Graduate,Employed,7,0,Rented,Mortgaged,Delhi,Tamil Nadu,India,83713,199213,3113,549689,386608,414973,Business,24,8.869311199993126,0,21887,624,0,1,8,324857,0.42227101833146485,898,0,0,1,1,0,1,0,0,0,1
42,Other,Single,2,High School,Employed,10,0,Rented,Rented,Delhi,Tamil Nadu,India,81482,802503,9171,5000,153494,575973,Home,12,11.901437402293062,1,31213,782,0,0,4,180789,0.715820734157991,825,1,0,0,1,1,0,1,0,0,0
60,Female,Single,0,Graduate,Employed,5,0,Owned,Mortgaged,Bengaluru,Karnataka,India,40596,516270,15242,199131,341966,580208,Vehicle,36,8.65426792140256,0,25100,579,0,0,6,409952,0.1952039505047034,822,1,0,0,2,0,0,0,1,0,0
62,Female,Single,0,Postgraduate,Employed,14,0,Owned,Rented,Delhi,Telangana,India,86493,657109,11179,633814,10000,642552,Business,12,15.16117092749688,1,27295,761,0,0,2,237254,0.6674092241026827,696,1,0,1,1,1,0,1,0,0,0
40,Other,Single,2,High School,Employed,19,0,Rented,Owned,Delhi,Delhi,India,63046,871387,12489,323463,213353,108217,Medical,24,9.804295566389687,1,0,567,0,0,8,51806,0.44357489311831244,840,0,1,0,2,0,0,0,0,1,0
65,Male,Single,2,High School,Self Employed,4,0,Owned,Rented,Chennai,Telangana,India,43286,444807,5224,183809,106744,462738,Medical,24,13.18656021375729,1,12083,721,0,1,10,378217,0.12976698306262197,621,0,0,0,4,0,0,0,1,0,0
35,Male,Married,0,Postgraduate,Employed,5,1,Owned,Owned,Hyderabad,Delhi,India,94400,829269,6785,221761,254375,390940,Home,48,12.779637784603002,1,20609,897,0,0,5,284374,0.7808288799749765,826,1,0,0,1,0,0,0,0,0,0
33,Male,Divorced,3,Postgraduate,Employed,2,0,Owned,Owned,Delhi,Maharashtra,India,97192,716298,7287,327285,221219,430811,Education,60,13.191470759821492,1,25454,805,0,1,8,216114,0.6446467199241896,688,0,1,0,4,0,0,0,0,0,0
54,Male,Married,0,Graduate,Employed,14,1,Rented,Owned,Mumbai,Telangana,India,70802,581823,7691,555238,227586,403408,Business,12,12.725624671235561,1,36040,516,1,0,4,241430,0.2503290766982041,560,0,0,0,2,0,0,0,1,0,0
52,Female,Married,3,Postgraduate,Employed,9,0,Owned,Owned,Delhi,Telangana,India,80593,638828,15007,154446,42337,304701,Home,48,13.866915080249557,1,27828,813,0,1,9,67040,0.7465869060008866,785,0,1,1,0,0,0,0,0,0,0
28,Male,Single,2,Postgraduate,Employed,5,1,Rented,Mortgaged,Bengaluru,Maharashtra,India,81883,733634,0,113630,172594,50000,Medical,12,13.195824745173748,0,25757,900,1,0,1,8584,0.7547418910590462,873,1,1,1,2,0,0,0,1,1,1
61,Male,Married,3,High School,Self Employed,4,0,Owned,Mortgaged,Hyderabad,Karnataka,India,95706,549649,8183,5000,156578,705602,Business,60,9.177251850781108,1,46603,900,1,0,10,176033,0.6603259200675627,675,0,0,0,2,0,0,0,1,0,0
31,Male,Married,3,Graduate,Employed,1,0,Owned,Owned,Mumbai,Karnataka,India,81017,782128,7523,268557,244390,522597,Home,24,11.250759632555802,0,16155,772,1,1,5,310983,0.1890193031994526,891,0,0,0,0,0,0,0,0,0,0
60,Male,Married,1,Graduate,Employed,9,0,Owned,Rented,Mumbai,Delhi,India,35790,696547,0,5000,308608,123456,Home,60,12.59945076950989,0,11531,569,0,1,6,217592,0.23046693326336107,537,0,0,0,2,0,0,0,0,0,1
22,Female,Divorced,3,Postgraduate,Employed,13,0,Owned,Owned,Bengaluru,Karnataka,India,109215,596615,12030,166519,199561,554088,Medical,48,10.938980694236328,1,17128,767,0,0,9,342371,0.6278230544329744,588,1,0,0,0,0,0,0,0,1,0
60,Male,Single,0,Graduate,Employed,4,1,Owned,Owned,Hyderabad,Tamil Nadu,India,88444,1256952,3652,86436,14097,351592,Education,24,14.20248163605163,0,4019,895,0,1,1,305515,0.7396640393240943,703,0,0,0,3,0,0,0,0,0,1
59,Male,Single,1,Graduate,Employed,0,0,Owned,Owned,Bengaluru,Karnataka,India,53790,904571,5857,443342,193985,357826,Medical,24,10.88423286291244,0,15811,699,0,0,11,181957,0.2505126965260941,679,0,1,0,2,0,0,1,0,0,0
59,Male,Single,0,Graduate,Employed,9,0,Owned,Owned,Hyderabad,Karnataka,India,42348,665186,19092,158488,519439,280948,Home,24,14.715131307272797,0,0,834,0,0,7,292456,0.42257948465652007,646,1,0,0,1,0,0,0,0,0,0
